127.0.0.1 - - [19/Jan/2021:10:43:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:43:25 +0900] "GET /HelloWeb/05_post/from.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:43:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:43:45 +0900] "POST /HelloWeb/05_post/to.jsp HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:49:27 +0900] "GET /HelloWeb/05_post/from.jsp HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:49:38 +0900] "POST /HelloWeb/05_post/to.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:58:10 +0900] "GET /HelloWeb/05_post/department.jsp HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:58:13 +0900] "POST /HelloWeb/05_post/department.jsp HTTP/1.1" 200 527
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:58:14 +0900] "POST /HelloWeb/05_post/department.jsp HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:58:18 +0900] "POST /HelloWeb/05_post/department.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:58:59 +0900] "GET /HelloWeb/05_post/department.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:59:02 +0900] "POST /HelloWeb/05_post/department.jsp HTTP/1.1" 200 752
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:59:40 +0900] "GET /HelloWeb/05_post/department.jsp HTTP/1.1" 200 539
0:0:0:0:0:0:0:1 - - [19/Jan/2021:10:59:44 +0900] "POST /HelloWeb/05_post/department.jsp HTTP/1.1" 200 733
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:13:06 +0900] "GET /HelloWeb/06_cookie/cookie.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:13:09 +0900] "POST /HelloWeb/06_cookie/cookie_ok.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Jan/2021:12:13:09 +0900] "GET /HelloWeb/06_cookie/cookie.jsp HTTP/1.1" 200 418
